stage_cd,route_cd,dsp_cd,van_type,station_cd,route_dt,cycle_cd,loadout_tm,bags_tot,overflow_tot,packages_tot,commercial_packages_tot,bag_line_no,bag_sort_zn,bag_id,bag_pkgs,overflow_line_no,overflow_sort_zn,overflow_pkgs
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,1,D-1.2A,Navy 135,22,1,D-1.4B,3
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,2,D-1.3A,Orange 982,23,2,D-24.1C,4
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,3,D-1.4B,Yellow 171,9,3,D-24.2C,5
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,5,D-24.3B,Green 952,23,4,D-24.4D,1
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,6,D-24.4C,Green 320,13,5,D-24.1D,1
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,7,D-24.1C,Navy 413,18,6,D-24.2D,1
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,8,D-24.2C,Yellow 778,19,7,D-24.3D,1
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,10,D-24.4D,Navy 130,4,8,D-24.1E,3
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,12,D-24.3C,Yellow 135,3,9,D-24.2E,3
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,13,D-24.1D,Yellow 995,13,10,D-24.4G,1
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,14,D-24.2D,Black 906,11,11,D-24.3G,2
STG.L.15,CX134,TDAL, Standard Parcel - Custom Delivery Van 16ft,DPP7,"THU, DEC 7, 2023",CYCLE_1,09:50 AM,25,27,406,25,15,D-24.3D,Yellow 296,18,12,D-1.4A,2
